"module";"cvid";"viewname";"is_default";"is_editable";"is_for_widgets";"sequence";"created_by";"sort";"filter";"columns_list";"cvid";"viewname";"setdefault";"setmetrics";"entitytype";"status";"userid";"privileges";"featured";"sequence";"presence";"description";"sort";"color"
"Accounts";"4";"All";"1";"0";"0";"null";"adminmk";"";"";"accountname, accounttype, legal_form, accounts_status, website, phone, assigned_user_id";"4";"All";"1";"0";"Accounts";"0";"1";"0";"0";"null";"0";"null";"";""
"ActivityRegister";"113";"All";"1";"1";"0";"0";"adminmk";"null";"";"subject, assigned_user_id, activityregister_status, datasetregisterid, parent_id, start_date, end_date";"113";"All";"1";"0";"ActivityRegister";"0";"1";"1";"0";"0";"0";"";"null";""
"Adjusters";"195";"All";"1";"1";"0";"0";"adminmk";"{"adjuster_name":"ASC"}";"";"adjuster_name, first_name, last_name, license_number, email, phone, phone_from_migration";"195";"All";"1";"0";"Adjusters";"3";"1";"1";"0";"0";"0";"";"{"adjuster_name":"ASC"}";""
"Adjusters";"282";"Public Adjusters";"0";"1";"0";"1";"adminak";"{"adjuster_name":"ASC"}";""OR .adjuster_type e 'Public'"";"adjuster_name, adjuster_type, first_name, last_name, company, license_number";"282";"Public Adjusters";"0";"0";"Adjusters";"3";"7";"1";"1";"1";"1";"";"{"adjuster_name":"ASC"}";""
"Adjusters";"283";"Insurance Company's Adjusters";"0";"1";"0";"2";"adminak";"{"adjuster_name":"ASC"}";""OR .adjuster_type e 'Insurance Company'"";"adjuster_name, adjuster_type, first_name, last_name, company, license_number";"283";"Insurance Company's Adjusters";"0";"0";"Adjusters";"3";"7";"1";"1";"2";"1";"";"{"adjuster_name":"ASC"}";""
"Announcements";"77";"All";"1";"1";"0";"null";"adminmk";"";"";"subject, assigned_user_id, announcementstatus, createdtime, modifiedtime, is_mandatory";"77";"All";"1";"0";"Announcements";"0";"1";"1";"0";"null";"0";"null";"";""
"Approvals";"118";"All";"1";"1";"0";"0";"adminmk";"";"";"name, number, createdtime, assigned_user_id";"118";"All";"1";"0";"Approvals";"0";"1";"1";"0";"0";"0";"";"";""
"ApprovalsRegister";"119";"All";"1";"1";"0";"0";"adminmk";"";"";"subject, approvalsid, approvals_register_status, contactid, approvals_register_type, registration_date, assigned_user_id";"119";"All";"1";"0";"ApprovalsRegister";"0";"1";"1";"0";"0";"0";"";"";""
"Assets";"41";"All";"1";"0";"0";"null";"adminmk";"";"";"assetname, product, parent_id, dateinservice, assetstatus";"41";"All";"1";"0";"Assets";"0";"1";"0";"0";"null";"0";"null";"";""
"Attorneys";"143";"All";"0";"1";"0";"0";"---";"{"attorney_name":"ASC"}";"";"attorney_name, is_active, attorney_user, attorney_type, law_firm, attorney_bar_number, email";"143";"All";"0";"0";"Attorneys";"3";"18";"1";"0";"0";"0";"";"{"attorney_name":"ASC"}";""
"Attorneys";"147";"Active";"0";"1";"0";"1";"---";"{"attorney_name":"ASC"}";""AND .is_active e '1'"";"attorney_name, law_firm";"147";"Active";"0";"0";"Attorneys";"3";"18";"1";"null";"1";"1";"";"{"attorney_name":"ASC"}";""
"Attorneys";"197";"Plaintiffs";"0";"1";"0";"2";"---";"{"attorney_name":"ASC"}";""AND .attorney_type e 'Plaintiff Attorney'"";"attorney_name, law_firm";"197";"Plaintiffs";"0";"0";"Attorneys";"3";"18";"1";"null";"2";"1";"";"{"attorney_name":"ASC"}";""
"Attorneys";"198";"Opposing Counsels";"0";"1";"0";"3";"---";"{"attorney_name":"ASC"}";""AND .attorney_type e 'Opposing Counsel'"";"attorney_name, law_firm";"198";"Opposing Counsels";"0";"0";"Attorneys";"3";"18";"1";"null";"3";"1";"";"{"attorney_name":"ASC"}";""
"Attorneys";"294";"Co-counsels";"0";"1";"0";"4";"---";"{"attorney_name":"ASC"}";""AND .attorney_type e 'Co-counsel'"";"attorney_name, law_firm";"294";"Co-counsels";"0";"0";"Attorneys";"3";"18";"1";"null";"4";"1";"";"{"attorney_name":"ASC"}";""
"AuditRegister";"116";"All";"1";"1";"0";"0";"adminmk";"null";"";"name, assigned_user_id, auditregister_status, auditregister_type, datasetregisterid, locationregisterid";"116";"All";"1";"0";"AuditRegister";"0";"1";"1";"0";"0";"0";"";"null";""
"BankAccounts";"123";"All";"1";"1";"0";"0";"adminmk";"";"";"name, number, createdtime, assigned_user_id";"123";"All";"1";"0";"BankAccounts";"0";"1";"1";"0";"0";"0";"";"";""
"BatchErrors";"165";"All";"1";"1";"0";"0";"adminmk";"{"createdtime":"DESC"}";"";"createdtime, task_type, mod_name, item, task_name, error_message";"165";"All";"1";"0";"BatchErrors";"0";"1";"1";"0";"0";"0";"";"{"createdtime":"DESC"}";""
"BatchErrors";"263";"error";"0";"1";"0";"1";"adminak";"{"createdtime":"DESC"}";"";"createdtime, task_type, mod_name, error_description, error_message";"263";"error";"0";"0";"BatchErrors";"1";"7";"1";"null";"1";"1";"";"{"createdtime":"DESC"}";""
"BatchErrors";"549";"Batch errors for Claim Management";"0";"1";"0";"2";"adminak";"null";""AND .createdtime yesterday ''", "AND .mod_name n 'Cases'", "AND .mod_name n 'SimilarCases'", "AND .mod_name n 'Collections'", "AND .mod_name n 'LawFirms'", "AND .mod_name n 'Attorneys'", "AND .mod_name n 'Courts'", "AND .mod_name n 'Counties'", "AND .mod_name n 'Judges'", "AND .mod_name n 'Adjusters'", "AND .mod_name n 'MortgageCompanies'", "AND .mod_name n 'LitigationContacts'"";"createdtime, mod_name, task_name, error_message, error_description";"549";"Batch errors for Claim Management";"0";"0";"BatchErrors";"1";"7";"1";"null";"2";"1";"";"null";""
"BatchErrors";"550";"Batch errors for Litigation";"0";"1";"0";"3";"adminak";"null";""AND .createdtime yesterday ''", "AND": [ "OR .mod_name e 'Cases'", "OR .mod_name e 'SimilarCases'", "OR .mod_name e 'Collections'", "OR .mod_name e 'LawFirms'", "OR .mod_name e 'Attorneys'", "OR .mod_name e 'Courts'", "OR .mod_name e 'Counties'", "OR .mod_name e 'Judges'", "OR .mod_name e 'Adjusters'", "OR .mod_name e 'MortgageCompanies'", "OR .mod_name e 'LitigationContacts'" ], ";"createdtime, mod_name, task_name, error_message, error_description";"550";"Batch errors for Litigation";"0";"0";"BatchErrors";"1";"7";"1";"null";"3";"1";"";"null";""
