"tabid";"modulename";"tablename";"fieldname";"entityidfield";"entityidcolumn";"searchcolumn";"turn_off";"sequence";"separator"
"4";"Contacts";"vtiger_contactdetails";"firstname,lastname";"contactid";"contact_id";"firstname,lastname";"0";"0";"null"
"6";"Accounts";"vtiger_account";"accountname";"accountid";"account_id";"accountname";"0";"0";"null"
"7";"Leads";"vtiger_leaddetails";"company";"leadid";"leadid";"company";"0";"0";"null"
"8";"Documents";"vtiger_notes";"title";"notesid";"notesid";"title";"0";"0";"null"
"9";"Calendar";"vtiger_activity";"subject";"activityid";"activityid";"subject";"1";"0";"null"
"13";"HelpDesk";"vtiger_troubletickets";"title";"ticketid";"ticketid";"title";"0";"0";"null"
"14";"Products";"vtiger_products";"productname";"productid";"product_id";"productname,ean";"0";"0";"null"
"15";"Faq";"vtiger_faq";"subject";"id";"id";"subject";"0";"0";"null"
"18";"Vendors";"vtiger_vendor";"vendorname";"vendorid";"vendor_id";"vendorname";"0";"0";"null"
"19";"PriceBooks";"vtiger_pricebook";"bookname";"pricebookid";"pricebookid";"bookname";"0";"0";"null"
"26";"Campaigns";"vtiger_campaign";"campaignname";"campaignid";"campaignid";"campaignname";"0";"0";"null"
"29";"Users";"vtiger_users";"last_name,first_name";"id";"id";"last_name,first_name";"1";"0";"null"
"34";"ServiceContracts";"vtiger_servicecontracts";"subject";"servicecontractsid";"servicecontractsid";"subject";"0";"0";"null"
"35";"Services";"vtiger_service";"servicename";"serviceid";"serviceid";"servicename";"0";"0";"null"
"37";"Assets";"vtiger_assets";"assetname";"assetsid";"assetsid";"assetname";"0";"0";"null"
"40";"ModComments";"vtiger_modcomments";"commentcontent";"modcommentsid";"modcommentsid";"commentcontent";"0";"0";"null"
"41";"ProjectMilestone";"vtiger_projectmilestone";"projectmilestonename";"projectmilestoneid";"projectmilestoneid";"projectmilestonename";"0";"0";"null"
"42";"ProjectTask";"vtiger_projecttask";"projecttaskname";"projecttaskid";"projecttaskid";"projecttaskname";"0";"0";"null"
"43";"Project";"vtiger_project";"projectname";"projectid";"projectid";"projectname";"0";"0";"null"
"45";"SMSNotifier";"vtiger_smsnotifier";"message";"smsnotifierid";"smsnotifierid";"message";"0";"0";"null"
"51";"OSSTimeControl";"vtiger_osstimecontrol";"name";"osstimecontrolid";"osstimecontrolid";"name";"0";"0";"null"
"54";"OSSMailView";"vtiger_ossmailview";"subject";"ossmailviewid";"ossmailviewid";"subject";"1";"0";"null"
"57";"OSSOutsourcedServices";"vtiger_ossoutsourcedservices";"productname";"ossoutsourcedservicesid";"ossoutsourcedservicesid";"productname";"0";"0";"null"
"58";"OSSSoldServices";"vtiger_osssoldservices";"productname";"osssoldservicesid";"osssoldservicesid";"productname";"0";"0";"null"
"59";"OutsourcedProducts";"vtiger_outsourcedproducts";"productname";"outsourcedproductsid";"outsourcedproductsid";"productname";"0";"0";"null"
