"profilename";"tablabel";"operation_name";"has_access";"profileid";"tabid";"operation";"permissions"
"Accountant";"Adjusters";"View";"1";"9";"175";"0";"0"
"Accountant";"Adjusters";"Edit";"0";"9";"175";"1";"1"
"Accountant";"Adjusters";"Delete";"0";"9";"175";"2";"1"
"Accountant";"Adjusters";"Create";"0";"9";"175";"7";"1"
"Accountant";"Attorneys";"View";"1";"9";"149";"0";"0"
"Accountant";"Attorneys";"Edit";"0";"9";"149";"1";"1"
"Accountant";"Attorneys";"Delete";"0";"9";"149";"2";"1"
"Accountant";"Attorneys";"Create";"0";"9";"149";"7";"1"
"Accountant";"Batch Errors";"View";"1";"9";"155";"0";"0"
"Accountant";"Batch Errors";"Edit";"0";"9";"155";"1";"1"
"Accountant";"Batch Errors";"Delete";"0";"9";"155";"2";"1"
"Accountant";"Batch Errors";"Create";"0";"9";"155";"7";"1"
"Accountant";"Batch Tasks";"View";"1";"9";"166";"0";"0"
"Accountant";"Batch Tasks";"Edit";"0";"9";"166";"1";"1"
"Accountant";"Batch Tasks";"Delete";"0";"9";"166";"2";"1"
"Accountant";"Batch Tasks";"Create";"0";"9";"166";"7";"1"
"Accountant";"Calendar";"View";"1";"9";"9";"0";"0"
"Accountant";"Calendar";"Edit";"1";"9";"9";"1";"0"
"Accountant";"Calendar";"Delete";"0";"9";"9";"2";"1"
"Accountant";"Calendar";"Create";"1";"9";"9";"7";"0"
"Accountant";"Case Handlers";"View";"1";"9";"164";"0";"0"
"Accountant";"Case Handlers";"Edit";"0";"9";"164";"1";"1"
"Accountant";"Case Handlers";"Delete";"0";"9";"164";"2";"1"
"Accountant";"Case Handlers";"Create";"0";"9";"164";"7";"1"
"Accountant";"Cases";"View";"1";"9";"159";"0";"0"
"Accountant";"Cases";"Edit";"1";"9";"159";"1";"0"
"Accountant";"Cases";"Delete";"0";"9";"159";"2";"1"
"Accountant";"Cases";"Create";"1";"9";"159";"7";"0"
"Accountant";"Claim Collections";"View";"1";"9";"172";"0";"0"
"Accountant";"Claim Collections";"Edit";"1";"9";"172";"1";"0"
"Accountant";"Claim Collections";"Delete";"0";"9";"172";"2";"1"
"Accountant";"Claim Collections";"Create";"1";"9";"172";"7";"0"
"Accountant";"Claimed Invoices";"View";"1";"9";"152";"0";"0"
"Accountant";"Claimed Invoices";"Edit";"0";"9";"152";"1";"1"
"Accountant";"Claimed Invoices";"Delete";"0";"9";"152";"2";"1"
"Accountant";"Claimed Invoices";"Create";"0";"9";"152";"7";"1"
"Accountant";"Claims";"View";"1";"9";"139";"0";"0"
"Accountant";"Claims";"Edit";"1";"9";"139";"1";"0"
"Accountant";"Claims";"Delete";"0";"9";"139";"2";"1"
"Accountant";"Claims";"Create";"0";"9";"139";"7";"1"
"Accountant";"Claims Documents Upload";"View";"1";"9";"201";"0";"0"
"Accountant";"Claims Documents Upload";"Edit";"1";"9";"201";"1";"0"
"Accountant";"Claims Documents Upload";"Delete";"0";"9";"201";"2";"1"
"Accountant";"Claims Documents Upload";"Create";"1";"9";"201";"7";"0"
"Accountant";"Collections";"View";"1";"9";"170";"0";"0"
"Accountant";"Collections";"Edit";"1";"9";"170";"1";"0"
"Accountant";"Collections";"Delete";"0";"9";"170";"2";"1"
"Accountant";"Collections";"Create";"1";"9";"170";"7";"0"
"Accountant";"Comments";"View";"1";"9";"40";"0";"0"
"Accountant";"Comments";"Edit";"1";"9";"40";"1";"0"
"Accountant";"Comments";"Delete";"0";"9";"40";"2";"1"
"Accountant";"Comments";"Create";"1";"9";"40";"7";"0"
"Accountant";"Counties";"View";"1";"9";"173";"0";"0"
"Accountant";"Counties";"Edit";"0";"9";"173";"1";"1"
"Accountant";"Counties";"Delete";"0";"9";"173";"2";"1"
"Accountant";"Counties";"Create";"0";"9";"173";"7";"1"
"Accountant";"Courts";"View";"1";"9";"145";"0";"0"
"Accountant";"Courts";"Edit";"0";"9";"145";"1";"1"
"Accountant";"Courts";"Delete";"0";"9";"145";"2";"1"
"Accountant";"Courts";"Create";"0";"9";"145";"7";"1"
"Accountant";"Document Package Sources";"View";"1";"9";"162";"0";"0"
"Accountant";"Document Package Sources";"Edit";"0";"9";"162";"1";"1"
"Accountant";"Document Package Sources";"Delete";"0";"9";"162";"2";"1"
"Accountant";"Document Package Sources";"Create";"0";"9";"162";"7";"1"
"Accountant";"Document Packages";"View";"1";"9";"158";"0";"0"
"Accountant";"Document Packages";"Edit";"0";"9";"158";"1";"1"
"Accountant";"Document Packages";"Delete";"0";"9";"158";"2";"1"
"Accountant";"Document Packages";"Create";"0";"9";"158";"7";"1"
"Accountant";"Document Templates";"View";"1";"9";"157";"0";"0"
"Accountant";"Document Templates";"Edit";"0";"9";"157";"1";"1"
"Accountant";"Document Templates";"Delete";"0";"9";"157";"2";"1"
"Accountant";"Document Templates";"Create";"0";"9";"157";"7";"1"
"Accountant";"Document Types";"View";"1";"9";"161";"0";"0"
"Accountant";"Document Types";"Edit";"0";"9";"161";"1";"1"
"Accountant";"Document Types";"Delete";"0";"9";"161";"2";"1"
"Accountant";"Document Types";"Create";"0";"9";"161";"7";"1"
"Accountant";"Documents";"View";"1";"9";"8";"0";"0"
"Accountant";"Documents";"Edit";"1";"9";"8";"1";"0"
"Accountant";"Documents";"Delete";"0";"9";"8";"2";"1"
"Accountant";"Documents";"Create";"1";"9";"8";"7";"0"
"Accountant";"Dropbox Destinations";"View";"1";"9";"185";"0";"0"
"Accountant";"Dropbox Destinations";"Edit";"1";"9";"185";"1";"0"
"Accountant";"Dropbox Destinations";"Delete";"0";"9";"185";"2";"1"
"Accountant";"Dropbox Destinations";"Create";"1";"9";"185";"7";"0"
"Accountant";"EmailTemplates";"View";"1";"9";"112";"0";"0"
"Accountant";"EmailTemplates";"Edit";"0";"9";"112";"1";"1"
"Accountant";"EmailTemplates";"Delete";"0";"9";"112";"2";"1"
"Accountant";"EmailTemplates";"Create";"0";"9";"112";"7";"1"
"Accountant";"Help Info";"View";"1";"9";"194";"0";"0"
"Accountant";"Help Info";"Edit";"1";"9";"194";"1";"0"
"Accountant";"Help Info";"Delete";"0";"9";"194";"2";"1"
"Accountant";"Help Info";"Create";"1";"9";"194";"7";"0"
"Accountant";"HO Claimed Invoices";"View";"1";"9";"187";"0";"0"
"Accountant";"HO Claimed Invoices";"Edit";"1";"9";"187";"1";"0"
"Accountant";"HO Claimed Invoices";"Delete";"0";"9";"187";"2";"1"
"Accountant";"HO Claimed Invoices";"Create";"1";"9";"187";"7";"0"
"Accountant";"Insurance Companies";"View";"1";"9";"168";"0";"0"
"Accountant";"Insurance Companies";"Edit";"0";"9";"168";"1";"1"
"Accountant";"Insurance Companies";"Delete";"0";"9";"168";"2";"1"
"Accountant";"Insurance Companies";"Create";"0";"9";"168";"7";"1"
"Accountant";"Insurance Company Aliases";"View";"1";"9";"180";"0";"0"
"Accountant";"Insurance Company Aliases";"Edit";"0";"9";"180";"1";"1"
"Accountant";"Insurance Company Aliases";"Delete";"0";"9";"180";"2";"1"
"Accountant";"Insurance Company Aliases";"Create";"0";"9";"180";"7";"1"
"Accountant";"Insureds";"View";"1";"9";"167";"0";"0"
"Accountant";"Insureds";"Edit";"0";"9";"167";"1";"1"
"Accountant";"Insureds";"Delete";"0";"9";"167";"2";"1"
"Accountant";"Insureds";"Create";"0";"9";"167";"7";"1"
"Accountant";"Investors";"View";"1";"9";"146";"0";"0"
"Accountant";"Investors";"Edit";"0";"9";"146";"1";"1"
"Accountant";"Investors";"Delete";"0";"9";"146";"2";"1"
"Accountant";"Investors";"Create";"0";"9";"146";"7";"1"
"Accountant";"Judges";"View";"1";"9";"174";"0";"0"
"Accountant";"Judges";"Edit";"0";"9";"174";"1";"1"
"Accountant";"Judges";"Delete";"0";"9";"174";"2";"1"
"Accountant";"Judges";"Create";"0";"9";"174";"7";"1"
"Accountant";"Law Firm Aliases";"View";"1";"9";"189";"0";"0"
"Accountant";"Law Firm Aliases";"Edit";"1";"9";"189";"1";"0"
"Accountant";"Law Firm Aliases";"Delete";"0";"9";"189";"2";"1"
"Accountant";"Law Firm Aliases";"Create";"1";"9";"189";"7";"0"
"Accountant";"Law Firms";"View";"1";"9";"188";"0";"0"
"Accountant";"Law Firms";"Edit";"1";"9";"188";"1";"0"
"Accountant";"Law Firms";"Delete";"0";"9";"188";"2";"1"
"Accountant";"Law Firms";"Create";"1";"9";"188";"7";"0"
"Accountant";"Litigation Contacts";"View";"1";"9";"191";"0";"0"
"Accountant";"Litigation Contacts";"Edit";"1";"9";"191";"1";"0"
"Accountant";"Litigation Contacts";"Delete";"0";"9";"191";"2";"1"
"Accountant";"Litigation Contacts";"Create";"1";"9";"191";"7";"0"
"Accountant";"Litigation Costs";"View";"1";"9";"186";"0";"0"
"Accountant";"Litigation Costs";"Edit";"1";"9";"186";"1";"0"
"Accountant";"Litigation Costs";"Delete";"0";"9";"186";"2";"1"
"Accountant";"Litigation Costs";"Create";"1";"9";"186";"7";"0"
"Accountant";"Mortgage Companies";"View";"1";"9";"190";"0";"0"
"Accountant";"Mortgage Companies";"Edit";"1";"9";"190";"1";"0"
"Accountant";"Mortgage Companies";"Delete";"0";"9";"190";"2";"1"
"Accountant";"Mortgage Companies";"Create";"1";"9";"190";"7";"0"
"Accountant";"Notification";"View";"1";"9";"111";"0";"0"
"Accountant";"Notification";"Edit";"1";"9";"111";"1";"0"
"Accountant";"Notification";"Delete";"0";"9";"111";"2";"1"
"Accountant";"Notification";"Create";"1";"9";"111";"7";"0"
"Accountant";"OSSMailView";"View";"1";"9";"54";"0";"0"
"Accountant";"OSSMailView";"Edit";"0";"9";"54";"1";"1"
