"module_name";"columnname";"fieldlabel";"blocklabel";"fieldtype";"tabid";"fieldid";"columnname";"tablename";"generatedtype";"uitype";"fieldname";"fieldlabel";"readonly";"presence";"defaultvalue";"maximumlength";"sequence";"block";"displaytype";"typeofdata";"quickcreate";"quickcreatesequence";"info_type";"masseditable";"helpinfo";"summaryfield";"fieldparams";"header_field";"maxlengthtext";"maxwidthcolumn";"visible";"tabindex";"color"
"Accounts";"accountname";"Account Name";"LBL_ACCOUNT_INFORMATION";"(12)";"6";"1";"accountname";"vtiger_account";"1";"12";"accountname";"Account Name";"0";"0";"";"255";"3";"9";"1";"V~M";"0";"1";"BAS";"1";"";"1";"";"null";"0";"0";"0";"0";""
"Accounts";"accounts_available_taxes";"FL_AVAILABLE_TAXES";"LBL_FOR_THE_PORTAL";"multipicklist(33)";"6";"2823";"accounts_available_taxes";"vtiger_account";"1";"33";"accounts_available_taxes";"FL_AVAILABLE_TAXES";"0";"2";"";"65535";"3";"439";"1";"V~O";"1";"0";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"accounts_status";"FL_STATUS";"LBL_ACCOUNT_INFORMATION";"picklist(15)";"6";"2401";"accounts_status";"vtiger_account";"1";"15";"accounts_status";"FL_STATUS";"0";"2";"";"255";"4";"9";"1";"V~O";"1";"0";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"account_no";"Account No";"LBL_REGISTRATION_INFO";"recordNumber(4)";"6";"2";"account_no";"vtiger_account";"1";"4";"account_no";"Account No";"0";"0";"";"100";"1";"194";"2";"V~O";"3";"null";"BAS";"0";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"account_type";"Type";"LBL_ACCOUNT_INFORMATION";"picklist(15)";"6";"16";"account_type";"vtiger_account";"1";"15";"accounttype";"Type";"0";"2";"";"200";"7";"9";"1";"V~O";"1";"null";"ADV";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel1a";"AddressLevel1";"LBL_ADDRESS_INFORMATION";"(35)";"6";"1089";"addresslevel1a";"vtiger_accountaddress";"1";"35";"addresslevel1a";"AddressLevel1";"0";"2";"";"255";"9";"11";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel1b";"AddressLevel1";"LBL_ADDRESS_MAILING_INFORMATION";"(35)";"6";"1090";"addresslevel1b";"vtiger_accountaddress";"1";"35";"addresslevel1b";"AddressLevel1";"0";"2";"";"255";"9";"10";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel1c";"AddressLevel1";"LBL_ADDRESS_DELIVERY_INFORMATION";"(35)";"6";"1160";"addresslevel1c";"vtiger_accountaddress";"1";"35";"addresslevel1c";"AddressLevel1";"0";"2";"";"255";"9";"181";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel2a";"AddressLevel2";"LBL_ADDRESS_INFORMATION";"(1)";"6";"1091";"addresslevel2a";"vtiger_accountaddress";"1";"1";"addresslevel2a";"AddressLevel2";"0";"2";"";"255";"7";"11";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel2b";"AddressLevel2";"LBL_ADDRESS_MAILING_INFORMATION";"(1)";"6";"1092";"addresslevel2b";"vtiger_accountaddress";"1";"1";"addresslevel2b";"AddressLevel2";"0";"2";"";"255";"7";"10";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel2c";"AddressLevel2";"LBL_ADDRESS_DELIVERY_INFORMATION";"(1)";"6";"1161";"addresslevel2c";"vtiger_accountaddress";"1";"1";"addresslevel2c";"AddressLevel2";"0";"2";"";"255";"7";"181";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel3a";"AddressLevel3";"LBL_ADDRESS_INFORMATION";"(1)";"6";"1093";"addresslevel3a";"vtiger_accountaddress";"1";"1";"addresslevel3a";"AddressLevel3";"0";"2";"";"255";"10";"11";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel3b";"AddressLevel3";"LBL_ADDRESS_MAILING_INFORMATION";"(1)";"6";"1094";"addresslevel3b";"vtiger_accountaddress";"1";"1";"addresslevel3b";"AddressLevel3";"0";"2";"";"255";"10";"10";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel3c";"AddressLevel3";"LBL_ADDRESS_DELIVERY_INFORMATION";"(1)";"6";"1162";"addresslevel3c";"vtiger_accountaddress";"1";"1";"addresslevel3c";"AddressLevel3";"0";"2";"";"255";"10";"181";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel4a";"AddressLevel4";"LBL_ADDRESS_INFORMATION";"(1)";"6";"1095";"addresslevel4a";"vtiger_accountaddress";"1";"1";"addresslevel4a";"AddressLevel4";"0";"2";"";"255";"8";"11";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel4b";"AddressLevel4";"LBL_ADDRESS_MAILING_INFORMATION";"(1)";"6";"1096";"addresslevel4b";"vtiger_accountaddress";"1";"1";"addresslevel4b";"AddressLevel4";"0";"2";"";"255";"8";"10";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel4c";"AddressLevel4";"LBL_ADDRESS_DELIVERY_INFORMATION";"(1)";"6";"1163";"addresslevel4c";"vtiger_accountaddress";"1";"1";"addresslevel4c";"AddressLevel4";"0";"2";"";"255";"8";"181";"1";"V~O";"1";"null";"BAS";"1";"";"0";"";"null";"0";"0";"0";"0";""
"Accounts";"addresslevel5a";"AddressLevel5";"LBL_ADDRESS_INFORMATION";"(1)";"6";"1097";"addresslevel5a";"vtiger_accountaddress";"1";"1";"addresslevel5a";"AddressLevel5";"0";"2";"";"255";"3";"11";"1";"V~O";"1";"null";"BAS";"1";"";"1";"";"";"0";"0";"0";"0";""
