"module";"id";"tabid";"sourcefield";"targetfield";"sourcevalue";"targetvalues";"criteria"
"Leads";"1";"7";"industry";"subindustry";"Administration";"["Ministry","Chancellery","Voivodeship Office","Marshal Office","District","City\/Township\/District","Social Welfare Centre","Water and Sewerage Company","Voivodeship Job Centre","District Job Center","Court of justice","Attorney General's Office","Other"]";"null"
"Leads";"2";"7";"industry";"subindustry";"Construction Industry";"["Other","Developers","Real Estate"]";"null"
"Leads";"3";"7";"industry";"subindustry";"Education";"["Other","Primary Schools","High Schools"]";"null"
"Leads";"4";"7";"industry";"subindustry";"Power Industry";"[""]";"null"
"Leads";"5";"7";"industry";"subindustry";"Finance";"["Other","Banking","Capital Market","Financial Services","Investments","Insurance"]";"null"
"Leads";"6";"7";"industry";"subindustry";"Trade";"["Other","Retail","Wholesale","Resale"]";"null"
"Leads";"7";"7";"industry";"subindustry";"Hotels and Restaurants";"[""]";"null"
"Leads";"8";"7";"industry";"subindustry";"Health Care";"[""]";"null"
"Leads";"9";"7";"industry";"subindustry";"Industry / Manufacturing";"["Other","Automotive","Plastics","Chamical","Raw material","Fuel","Wood and paper","Electromechanical","Pharmaceutical","Building Materials","Metal","Light","Food industry","Recycling"]";"null"
"Leads";"10";"7";"industry";"subindustry";"Uniformed Services";"["Army","Police"]";"null"
"Leads";"11";"7";"industry";"subindustry";"Transport & Logistics";"[""]";"null"
"Leads";"12";"7";"industry";"subindustry";"Technologies";"["Other","Information Technology","Telecommunication","Media"]";"null"
"Products";"13";"14";"usageunit";"subunit";"pcs";"[""]";"null"
"Products";"14";"14";"usageunit";"subunit";"pack";"[""]";"null"
"Products";"15";"14";"usageunit";"subunit";"kg";"["50g","100g","300g","500g"]";"null"
"Products";"16";"14";"usageunit";"subunit";"m";"[""]";"null"
"Products";"17";"14";"usageunit";"subunit";"l";"["100ml","250ml","330ml","500ml"]";"null"
