"tablabel";"fieldname";"tablabel";"fieldname";"mappedid";"type";"source";"target";"default"
"Accounts";"accountname";"Vendors";"vendorname";"2";"V";"1";"288";""
"Accounts";"email1";"Vendors";"email";"2";"E";"9";"291";""
"Claims";"aob_dtp_attorney";"Cases";"attorney";"7";"V";"4826";"4131";"null"
"Claims";"aob_dtp_attorney";"Texas Cases";"attorney";"9";"V";"4826";"5534";"null"
"Claims";"pre_court_case_number";"Cases";"case_number";"7";"V";"4458";"4504";""
"Claims";"pre_court_case_number";"Texas Cases";"case_number";"9";"V";"4458";"5489";""
"IGDN";"acceptance_date";"IGRN";"acceptance_date";"5";"D";"2196";"2192";""
"IGDN";"assigned_user_id";"IGRN";"assigned_user_id";"5";"V";"2158";"2117";"0"
"IGDN";"attention";"IGRN";"attention";"5";"V";"2194";"2190";""
"IGDN";"description";"IGRN";"description";"5";"V";"2193";"2189";""
"IGDN";"storageid";"IGRN";"storageid";"5";"V";"2157";"2170";"null"
"IGDN";"subject";"IGRN";"subject";"5";"V";"2156";"2116";""
"ISTDN";"istdn_status";"ISTRN";"istrn_status";"1";"V";"2226";"2250";""
"SSingleOrders";"accountid";"FInvoice";"accountid";"3";"V";"1839";"2043";"null"
"SSingleOrders";"accountid";"IGDN";"accountid";"4";"V";"1839";"2195";"null"
"SSingleOrders";"assigned_user_id";"IGDN";"assigned_user_id";"4";"V";"1843";"2158";"0"
"SSingleOrders";"assigned_user_id";"IGRN";"assigned_user_id";"6";"V";"1843";"2117";"0"
"SSingleOrders";"attention";"IGDN";"attention";"4";"V";"1846";"2194";""
"SSingleOrders";"category";"FInvoice";"pscategory";"3";"V";"1835";"2573";""
"SSingleOrders";"description";"IGDN";"description";"4";"V";"1845";"2193";""
"SSingleOrders";"istorageaddressid";"IGDN";"storageid";"4";"V";"2792";"2157";"null"
"SSingleOrders";"istorageaddressid";"IGRN";"storageid";"6";"V";"2792";"2170";"null"
"SSingleOrders";"payment_methods";"FInvoice";"payment_methods";"3";"V";"2818";"2044";""
"SSingleOrders";"payment_status";"FInvoice";"payment_status";"3";"V";"2826";"2825";"PLL_NOT_PAID"
"SSingleOrders";"subject";"FInvoice";"subject";"3";"V";"1834";"2040";""
"SSingleOrders";"subject";"IGDN";"subject";"4";"V";"1834";"2156";""
"SSingleOrders";"subject";"IGRN";"subject";"6";"V";"1834";"2116";""
