"path";"path_label";"menu_path";"module_name";"id";"role";"parentid";"type";"sequence";"module";"label";"newwindow";"dataurl";"showicon";"icon";"sizeicon";"hotkey";"filters";"source"
"182";"000-Home";"Home";"Home";"182";"0";"0";"6";"0";"3";"null";"0";"null";"0";"null";"null";"null";"null";"0"
"217";"000-Home";"Home";"Home";"217";"46";"0";"6";"0";"3";"null";"0";"null";"0";"null";"null";"null";"null";"0"
"392";"000-Home";"Home";"Home";"392";"56";"0";"6";"0";"3";"null";"0";"null";"0";"null";"null";"null";"null";"0"
"218";"001-Virtual desk";"Virtual desk";"null";"218";"46";"0";"2";"1";"null";"MEN_VIRTUAL_DESK";"0";"null";"0";"yfm-VirtualDesk";"null";"null";"null";"0"
"393";"001-Virtual desk";"Virtual desk";"null";"393";"56";"0";"2";"1";"null";"MEN_VIRTUAL_DESK";"0";"null";"0";"yfm-VirtualDesk";"null";"null";"null";"0"
"44";"001-Virtual desk";"Virtual desk";"null";"44";"0";"0";"2";"1";"null";"MEN_VIRTUAL_DESK";"0";"null";"0";"yfm-VirtualDesk";"null";"null";"null";"0"
"218,225";"001-Virtual desk > 000-Home page";"Virtual desk > Home page";"Home";"225";"46";"218";"0";"0";"3";"Home page";"0";"null";"0";"yfm-Home";"null";"";"null";"0"
"393,400";"001-Virtual desk > 000-Home page";"Virtual desk > Home page";"Home";"400";"56";"393";"0";"0";"3";"Home page";"0";"null";"0";"yfm-Home";"null";"";"null";"0"
"44,45";"001-Virtual desk > 000-Home page";"Virtual desk > Home page";"Home";"45";"0";"44";"0";"0";"3";"Home page";"0";"null";"0";"yfm-Home";"null";"";"null";"0"
"218,226";"001-Virtual desk > 001-Calendar";"Virtual desk > Calendar";"Calendar";"226";"46";"218";"0";"1";"9";"null";"0";"null";"0";"";"null";"";"null";"0"
"393,401";"001-Virtual desk > 001-Calendar";"Virtual desk > Calendar";"Calendar";"401";"56";"393";"0";"1";"9";"null";"0";"null";"0";"";"null";"";"null";"0"
"44,46";"001-Virtual desk > 001-Calendar";"Virtual desk > Calendar";"Calendar";"46";"0";"44";"0";"1";"9";"null";"0";"null";"0";"";"null";"";"null";"0"
"218,227";"001-Virtual desk > 002-OSSMail";"Virtual desk > OSSMail";"OSSMail";"227";"46";"218";"0";"2";"48";"null";"0";"null";"0";"";"null";"";"null";"0"
"393,402";"001-Virtual desk > 002-OSSMail";"Virtual desk > OSSMail";"OSSMail";"402";"56";"393";"0";"2";"48";"null";"0";"null";"0";"";"null";"";"null";"0"
"44,113";"001-Virtual desk > 002-OSSMail";"Virtual desk > OSSMail";"OSSMail";"113";"0";"44";"0";"2";"48";"null";"0";"null";"0";"";"null";"";"null";"0"
"218,228";"001-Virtual desk > 003-Tasks";"Virtual desk > Tasks";"Tasks";"228";"46";"218";"0";"3";"179";"";"0";"null";"0";"fas fa-tasks";"null";"";"null";"0"
