"module";"related_module";"relation_type";"is_hidden";"actions";"view_type";"relation_field_name";"fields_in_table";"relation_id";"tabid";"related_tabid";"name";"sequence";"label";"presence";"actions";"favorites";"creator_detail";"relation_comment";"view_type";"field_name";"custom_view"
"Accounts";"Contacts";"getDependentsList";"0";"add";"RelatedTab";"parent_id";"null";"1";"6";"4";"getDependentsList";"1";"Contacts";"0";"add";"0";"0";"0";"RelatedTab";"parent_id";"null"
"Accounts";"Calendar";"getActivities";"0";"ADD";"RelatedTab";"null";"null";"6";"6";"9";"getActivities";"2";"Activities";"0";"ADD";"0";"0";"0";"RelatedTab";"null";"null"
"Accounts";"OSSMailView";"getEmails";"0";"SEND";"RelatedTab";"null";"null";"7";"6";"54";"getEmails";"3";"OSSMailView";"0";"SEND";"0";"0";"0";"RelatedTab";"null";"null"
"Accounts";"Documents";"getAttachments";"0";"add,select";"RelatedTab";"null";"null";"9";"6";"8";"getAttachments";"4";"Documents";"0";"add,select";"0";"0";"0";"RelatedTab";"null";"null"
"Accounts";"HelpDesk";"getDependentsList";"0";"add";"RelatedTab";"parent_id";"null";"10";"6";"13";"getDependentsList";"5";"HelpDesk";"0";"add";"0";"0";"0";"RelatedTab";"parent_id";"null"
"Accounts";"Campaigns";"getCampaigns";"0";"select";"RelatedTab";"null";"null";"87";"6";"26";"getCampaigns";"6";"Campaigns";"0";"select";"0";"0";"0";"RelatedTab";"null";"null"
"Accounts";"Service Contracts";"getDependentsList";"0";"ADD";"RelatedTab";"sc_related_to";"null";"95";"6";"34";"getDependentsList";"8";"Service Contracts";"0";"ADD";"0";"0";"0";"RelatedTab";"sc_related_to";"null"
"Accounts";"Project";"getDependentsList";"0";"add";"RelatedTab";"linktoaccountscontacts";"null";"126";"6";"43";"getDependentsList";"9";"Projects";"0";"add";"0";"0";"0";"RelatedTab";"linktoaccountscontacts";"null"
"Accounts";"OSSTimeControl";"getDependentsList";"0";"ADD";"RelatedTab";"link";"null";"183";"6";"51";"getDependentsList";"10";"OSSTimeControl";"0";"ADD";"0";"0";"0";"RelatedTab";"link";"null"
"Accounts";"OSSPasswords";"getDependentsList";"0";"ADD";"RelatedTab";"linkto";"null";"230";"6";"60";"getDependentsList";"11";"OSSPasswords";"0";"ADD";"0";"0";"0";"RelatedTab";"linkto";"null"
"Accounts";"Products";"getProducts";"1";"select";"RelatedTab";"null";"null";"11";"6";"14";"getProducts";"12";"Products";"1";"select";"0";"1";"1";"RelatedTab";"null";"null"
"Accounts";"Assets";"getDependentsList";"1";"ADD";"RelatedTab";"parent_id";"null";"117";"6";"37";"getDependentsList";"13";"Assets";"1";"ADD";"0";"0";"1";"RelatedTab";"parent_id";"null"
"Accounts";"OutsourcedProducts";"getDependentsList";"1";"ADD";"RelatedTab";"parent_id";"null";"221";"6";"59";"getDependentsList";"14";"OutsourcedProducts";"1";"ADD";"0";"0";"1";"RelatedTab";"parent_id";"null"
"Accounts";"Services";"getRelatedList";"1";"SELECT";"RelatedTab";"null";"null";"111";"6";"35";"getRelatedList";"15";"Services";"1";"SELECT";"0";"1";"1";"RelatedTab";"null";"null"
"Accounts";"OSSOutsourcedServices";"getDependentsList";"1";"ADD";"RelatedTab";"parent_id";"null";"214";"6";"57";"getDependentsList";"16";"OSSOutsourcedServices";"1";"ADD";"0";"0";"1";"RelatedTab";"parent_id";"null"
"Accounts";"OSSSoldServices";"getDependentsList";"1";"ADD";"RelatedTab";"parent_id";"null";"218";"6";"58";"getDependentsList";"17";"OSSSoldServices";"1";"ADD";"0";"0";"1";"RelatedTab";"parent_id";"null"
"Accounts";"CallHistory";"getDependentsList";"0";"";"RelatedTab";"destination";"null";"288";"6";"74";"getDependentsList";"18";"CallHistory";"0";"";"0";"0";"0";"RelatedTab";"destination";"null"
"Accounts";"PaymentsIn";"getDependentsList";"0";"ADD";"RelatedTab";"relatedid";"null";"304";"6";"79";"getDependentsList";"19";"PaymentsIn";"0";"ADD";"0";"0";"0";"RelatedTab";"relatedid";"null"
"Accounts";"PaymentsOut";"getDependentsList";"0";"ADD";"RelatedTab";"relatedid";"null";"308";"6";"80";"getDependentsList";"20";"PaymentsOut";"0";"ADD";"0";"0";"0";"RelatedTab";"relatedid";"null"
"Accounts";"LettersIn";"getDependentsList";"0";"ADD";"RelatedTab";"relatedid";"null";"313";"6";"81";"getDependentsList";"21";"LettersIn";"0";"ADD";"0";"0";"0";"RelatedTab";"relatedid";"null"
"Accounts";"LettersOut";"getDependentsList";"0";"ADD";"RelatedTab";"relatedid";"null";"323";"6";"82";"getDependentsList";"22";"LettersOut";"0";"ADD";"0";"0";"0";"RelatedTab";"relatedid";"null"
"Accounts";"Reservations";"getDependentsList";"0";"ADD";"RelatedTab";"link";"null";"337";"6";"84";"getDependentsList";"23";"Reservations";"0";"ADD";"0";"0";"0";"RelatedTab";"link";"null"
"Accounts";"FBookkeeping";"getDependentsList";"0";"ADD";"RelatedTab";"related_to";"null";"450";"6";"94";"getDependentsList";"24";"FBookkeeping";"0";"ADD";"0";"0";"0";"RelatedTab";"related_to";"null"
"Accounts";"FInvoice";"getDependentsList";"0";"ADD";"RelatedTab";"accountid";"null";"451";"6";"95";"getDependentsList";"25";"FInvoice";"0";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SSalesProcesses";"getDependentsList";"0";"ADD";"RelatedTab";"related_to";"null";"452";"6";"86";"getDependentsList";"26";"SSalesProcesses";"0";"ADD";"0";"0";"0";"RelatedTab";"related_to";"null"
"Accounts";"FInvoiceProforma";"getDependentsList";"0";"ADD";"RelatedTab";"accountid";"null";"453";"6";"99";"getDependentsList";"27";"FInvoiceProforma";"0";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"FCorectingInvoice";"getDependentsList";"0";"ADD";"RelatedTab";"accountid";"null";"490";"6";"107";"getDependentsList";"28";"FCorectingInvoice";"0";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"Notification";"getDependentsList";"0";"ADD";"RelatedTab";"link";"null";"536";"6";"111";"getDependentsList";"29";"Notification";"0";"ADD";"0";"0";"0";"RelatedTab";"link";"null"
"Accounts";"SQuoteEnquiries";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"579";"6";"85";"getDependentsList";"30";"SQuoteEnquiries";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SQuotes";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"580";"6";"89";"getDependentsList";"31";"SQuotes";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SRequirementsCards";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"581";"6";"87";"getDependentsList";"32";"SRequirementsCards";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SSingleOrders";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"582";"6";"90";"getDependentsList";"33";"SSingleOrders";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SRecurringOrders";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"583";"6";"91";"getDependentsList";"34";"SRecurringOrders";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SVendorEnquiries";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"584";"6";"117";"getDependentsList";"35";"SVendorEnquiries";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"SCalculations";"getDependentsList";"1";"ADD";"RelatedTab";"accountid";"null";"585";"6";"88";"getDependentsList";"36";"SCalculations";"1";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
"Accounts";"Faq";"getDependentsList";"0";"ADD";"RelatedTab";"accountid";"null";"619";"6";"15";"getDependentsList";"37";"Faq";"0";"ADD";"0";"0";"0";"RelatedTab";"accountid";"null"
