"module";"id";"tabid";"type";"label";"wcol";"sequence";"data"
"Accounts";"1";"6";"Summary";"null";"1";"0";"[]"
"Accounts";"2";"6";"Comments";"ModComments";"2";"6";"{"relatedmodule":"ModComments","limit":"5"}"
"Accounts";"3";"6";"Updates";"LBL_UPDATES";"1";"1";"[]"
"Accounts";"4";"6";"Activities";"Calendar";"2";"4";"{"limit":"5"}"
"Accounts";"5";"6";"RelatedModule";"Contacts";"2";"3";"{"relatedmodule":"4","relatedfields":["4::firstname","4::lastname","4::phone","4::email"],"viewtype":"List","limit":"5","action":"1","switchHeader":"-","filter":"-","checkbox":"-","relation_id":1}"
"Accounts";"12";"6";"EmailList";"Emails";"2";"5";"{"relatedmodule":"OSSMailView","limit":"5"}"
"Accounts";"103";"6";"RelatedModule";"";"1";"2";"{"relatedmodule":"86","relatedfields":["86::subject","86::related_to","86::assigned_user_id","86::ssalesprocesses_type"],"viewtype":"List","limit":"10","action":"1","switchHeader":"0","filter":"-","checkbox":"-","relation_id":452}"
"ActivityRegister";"182";"122";"Summary";"null";"1";"0";"[]"
"ActivityRegister";"183";"122";"Comments";"ModComments";"1";"1";"{"relatedmodule":"ModComments","limit":"5"}"
"ActivityRegister";"185";"122";"RelatedModule";"";"2";"3";"{"relatedmodule":"8","relatedfields":["8::notes_title","8::assigned_user_id","8::ossdc_status"],"viewtype":"List","limit":"5","action":"0","actionSelect":"0","no_result_text":"0","switchHeader":"-","filter":"-","checkbox":"-","relation_id":549}"
"AuditRegister";"196";"125";"Summary";"null";"1";"0";"[]"
"AuditRegister";"197";"125";"Comments";"ModComments";"1";"1";"{"relatedmodule":"ModComments","limit":"5"}"
"AuditRegister";"198";"125";"Updates";"LBL_UPDATES";"1";"2";"[]"
"AuditRegister";"200";"125";"RelatedModule";"";"2";"4";"{"relatedmodule":"8","relatedfields":["8::notes_title","8::assigned_user_id","8::ossdc_status"],"viewtype":"List","limit":"5","action":"0","actionSelect":"0","no_result_text":"0","switchHeader":"-","filter":"-","checkbox":"-","relation_id":569}"
"Campaigns";"160";"26";"Summary";"null";"1";"0";"[]"
"Campaigns";"161";"26";"Comments";"ModComments";"2";"3";"{"relatedmodule":"ModComments","limit":"5"}"
"Campaigns";"162";"26";"RelatedModule";"Documents";"2";"2";"{"relatedmodule":"8","relatedfields":["8::notes_title","8::folderid","8::filelocationtype","8::filename"],"viewtype":"List","limit":"5","action":"1","switchHeader":"-","filter":"-","checkbox":"-","relation_id":509}"
"Campaigns";"163";"26";"Updates";"LBL_UPDATES";"1";"1";"[]"
"Cases";"276";"159";"SummaryMultiColumn";"";"1";"1";"{"columns":3}"
"Cases";"277";"159";"Comments";"Comments";"1";"2";"{"relatedmodule":"ModComments","limit":5}"
"Cases";"278";"159";"RelatedModule";"Collections";"1";"3";"{"relation_id":771,"relatedmodule":170,"relatedfields":["170::payment_date","170::deposit_date","170::disbursed_date","170::value","170::attorney_fees","170::value_plus_attorney_fees","170::status_col"],"viewtype":"List","limit":5,"action":0,"actionSelect":0,"no_result_text":0,"switchHeader":"-","filter":"-","checkbox":"-","orderby":[]}"
"CFixedAssets";"164";"113";"Summary";"null";"1";"0";"[]"
"CFixedAssets";"165";"113";"Comments";"";"2";"2";"{"relatedmodule":"ModComments","limit":"5"}"
"CFixedAssets";"166";"113";"RelatedModule";"Documents";"1";"1";"{"relatedmodule":"8","relatedfields":["8::notes_title","8::folderid","8::filelocationtype","8::filename"],"viewtype":"List","limit":"5","action":"1","switchHeader":"-","filter":"-","checkbox":"-","relation_id":526}"
"CInternalTickets";"167";"114";"Summary";"null";"1";"0";"[]"
"CInternalTickets";"168";"114";"RelatedModule";"Documents";"1";"1";"{"relatedmodule":"8","relatedfields":["8::notes_title","8::folderid","8::filelocationtype","8::filename"],"viewtype":"List","limit":"5","action":"1","switchHeader":"-","filter":"-","checkbox":"-","relation_id":527}"
"CInternalTickets";"169";"114";"Comments";"";"2";"2";"{"relatedmodule":"ModComments","limit":"5"}"
"Claims";"238";"139";"Summary";"";"1";"0";"[]"
"Claims";"241";"139";"Updates";"Updates";"2";"5";"[]"
"Claims";"242";"139";"RelatedModule";"Last E-mails";"2";"3";"{"relation_id":686,"relatedmodule":54,"relatedfields":["54::date","54::from_email","54::to_email","54::subject","54::attachments_exist"],"viewtype":"List","limit":5,"action":0,"actionSelect":0,"no_result_text":0,"switchHeader":"-","filter":"ossmailview_sendtype","checkbox":"-","orderby":{"date":"DESC"}}"
"Claims";"245";"139";"Comments";"Comments";"1";"1";"{"relatedmodule":"ModComments","limit":5}"
"Claims";"256";"139";"RelatedModule";"Documents";"2";"4";"{"relation_id":747,"relatedmodule":8,"relatedfields":["8::notes_title","8::filename","8::document_type","8::documents_status"],"viewtype":"List","limit":5,"action":1,"actionSelect":1,"no_result_text":1,"switchHeader":"-","filter":"-","checkbox":"-","orderby":[]}"
