"placeholdersid";"placeholder";"number";"result_text";"placeholder_category";"mod_name"
"25476";"ACCIDENT_DATE";"N5";"$(record : date_of_loss|format=F j, Y)$";"";"Cases"
"25477";"ADJUSTER_EMAIL";"N6";"$(relatedRecord : adjuster|email|Adjusters)$";"Email Address";"Cases"
"25478";"ADJUSTER_FAX";"N7";"$(relatedRecord : adjuster|fax|Adjusters)$";"";"Cases"
"25481";"ADJUSTER_NAME";"N10";"$(relatedRecord : adjuster|adjuster_name|Adjusters)$";"";"Cases"
"25482";"ADJUSTER_PHONE";"N11";"$(relatedRecord : adjuster|phone|Adjusters)$ $(relatedRecord : adjuster|phone_extra|Adjusters)$";"";"Cases"
"25484";"ATTORNEY_ADDRESS";"N13";"$(relatedRecord : attorney|street|Attorneys)$";"";"Cases"
"25485";"ATTORNEY_CITY";"N14";"$(relatedRecord : attorney|city|Attorneys)$";"";"Cases"
"25486";"ATTORNEY_EMAIL";"N15";"$(relatedRecord : attorney|email|Attorneys)$";"Email Address";"Cases"
"25487";"ATTORNEY_FAX";"N16";"$(relatedRecord : attorney|fax|Attorneys)$";"";"Cases"
"25488";"ATTORNEY_FIRSTNAME";"N17";"$(relatedRecord : attorney|first_name|Attorneys)$";"";"Cases"
"25489";"ATTORNEY_LASTNAME";"N18";"$(relatedRecord : attorney|last_name|Attorneys)$";"";"Cases"
"25490";"ATTORNEY_NAME";"N19";"$(relatedRecord : attorney|attorney_name|Attorneys)$";"";"Cases"
"25491";"ATTORNEY_PHONE";"N20";"$(relatedRecord : attorney|phone|Attorneys)$ $(relatedRecord : attorney|phone_extra|Attorneys)$";"";"Cases"
"25492";"ATTORNEY_STATE";"N21";"$(relatedRecord : attorney|state|Attorneys)$";"";"Cases"
"25493";"ATTORNEY_ZIP";"N22";"$(relatedRecord : attorney|zip|Attorneys)$";"";"Cases"
"25494";"BALANCE_AMOUNT";"N23";"$(record : total_balance)$";"";"Cases"
"25496";"CASE_ID";"N25";"$(record : case_id)$";"";"Cases"
"25497";"CLAIM_AMOUNT";"N26";"$(record : total_bill_amount)$";"";"Cases"
"25499";"CLIENT_BILLING_ADDRESS";"N28";"$(relatedRecord : insured|street|Insureds)$";"";"Cases"
"25500";"CLIENT_BILLING_CITY";"N29";"$(relatedRecord : insured|city|Insureds)$";"";"Cases"
"25502";"CLIENT_BILLING_PHONE";"N31";"$(relatedRecord : insured|phone|Insureds)$ $(relatedRecord : insured|phone_extra|Insureds)$";"";"Cases"
"25503";"CLIENT_BILLING_STATE";"N32";"$(relatedRecord : insured|state|Insureds)$";"";"Cases"
"25504";"CLIENT_BILLING_ZIP";"N33";"$(relatedRecord : insured|zip|Insureds)$";"";"Cases"
"25505";"CLIENT_EMAIL";"N34";"$(relatedRecord : insured|e_mail|Insureds)$";"Email Address";"Cases"
"25506";"CLIENT_FIRST_NAME";"N35";"$(relatedRecord : insured|insured1_first_name|Insureds)$";"";"Cases"
"25507";"CLIENT_LAST_NAME";"N36";"$(relatedRecord : insured|insured1_last_name|Insureds)$";"";"Cases"
"25508";"CLIENT_NAME";"N37";"$(relatedRecord : insured|insured1_first_name|Insureds)$ $(relatedRecord : insured|insured1_last_name|Insureds)$";"";"Cases"
"25509";"CORPORATE_REP";"N38";"$(record : ps_corporate_rep)$";"";"Cases"
"25510";"COURT_ADDRESS";"N39";"$(relatedRecord : court|street|Courts)$";"";"Cases"
"25512";"COURT_CITY";"N41";"$(relatedRecord : court|city|Courts)$";"";"Cases"
"25513";"COURT_COUNTY";"N42";"$(relatedRecordLevel : court|Courts|county|county|Counties)$";"";"Cases"
"25517";"COURT_NAME";"N46";"$(relatedRecord : court|court_name|Courts)$";"";"Cases"
"25525";"DEFENDANT_NAME";"N54";"$(record : opposing_counsel)$";"";"Cases"
"25531";"DOS_END";"N60";"$(record : date_of_service|format=F j, Y)$";"";"Cases"
"25533";"DOS_START";"N62";"$(record : date_of_service|format=F j, Y)$";"";"Cases"
"25535";"INDEXORAAA_NUMBER";"N64";"$(record : case_number)$";"";"Cases"
"25536";"INJUREDPARTY_FIRSTNAME";"N65";"$(relatedRecord : insured|insured1_first_name|Insureds)$";"";"Cases"
"25537";"INJUREDPARTY_FULL_ADDRESS";"N66";"$(relatedRecord : insured|street|Insureds)$ $(relatedRecord : insured|city|Insureds)$ $(relatedRecord : insured|state|Insureds)$ $(relatedRecord : insured|zip|Insureds)$";"";"Cases"
"25538";"INJUREDPARTY_LASTNAME";"N67";"$(relatedRecord : insured|insured1_last_name|Insureds)$";"";"Cases"
"25539";"INJUREDPARTY_NAME";"N68";"$(record : insured)$";"";"Cases"
"25541";"INS_CLAIM_NUMBER";"N70";"$(record : claim_number)$";"";"Cases"
"25542";"INSURANCECOMPANY_LOCAL_ADDRESS";"N71";"$(relatedRecord : insurance_company|street|InsuranceCompanies)$";"";"Cases"
"25543";"INSURANCECOMPANY_LOCAL_CITY";"N72";"$(relatedRecord : insurance_company|city|InsuranceCompanies)$";"";"Cases"
"25546";"INSURANCECOMPANY_LOCAL_PHONE";"N75";"$(relatedRecord : insurance_company|phone|InsuranceCompanies)$ $(relatedRecord : insurance_company|phone_extra|InsuranceCompanies)$";"";"Cases"
"25547";"INSURANCECOMPANY_LOCAL_STATE";"N76";"$(relatedRecord : insurance_company|state|InsuranceCompanies)$";"";"Cases"
"25548";"INSURANCECOMPANY_LOCAL_ZIP";"N77";"$(relatedRecord : insurance_company|zip|InsuranceCompanies)$";"";"Cases"
"25549";"INSURANCECOMPANY_NAME";"N78";"$(relatedRecord : insurance_company|insurance_company_name|InsuranceCompanies)$";"";"Cases"
"25550";"INSURANCECOMPANY_PERM_ADDRESS";"N79";"$(relatedRecord : insurance_company|street|InsuranceCompanies)$";"";"Cases"
"25551";"INSURANCECOMPANY_PERM_CITY";"N80";"$(relatedRecord : insurance_company|city|InsuranceCompanies)$";"";"Cases"
"25554";"INSURANCECOMPANY_PERM_PHONE";"N83";"$(relatedRecord : insurance_company|phone|InsuranceCompanies)$ $(relatedRecord : insurance_company|phone_extra|InsuranceCompanies)$";"";"Cases"
"25555";"INSURANCECOMPANY_PERM_STATE";"N84";"$(relatedRecord : insurance_company|state|InsuranceCompanies)$";"";"Cases"
"25556";"INSURANCECOMPANY_PERM_ZIP";"N85";"$(relatedRecord : insurance_company|zip|InsuranceCompanies)$";"";"Cases"
"25557";"INSURANCECOMPANY_SUITNAME";"N86";"$(relatedRecord : insurance_company|insurance_company_name|InsuranceCompanies)$";"";"Cases"
"25558";"INSUREDPARTY_ADDRESS";"N87";"$(relatedRecord : insured|street|Insureds)$ $(relatedRecord : insured|city|Insureds)$ $(relatedRecord : insured|state|Insureds)$ $(relatedRecord : insured|zip|Insureds)$";"";"Cases"
"25561";"JUDGE_NAME";"N90";"$(relatedRecord : judge|judge_name|Judges)$";"";"Cases"
"25562";"LAWFIRMNAME";"N91";"$(relatedRecord : attorney|law_firm_name|Attorneys)$";"";"Cases"
"25566";"MOTION_HEARING_DATE_TIME";"N95";"$(record : next_hearing_date|format=F j, Y)$";"";"Cases"
"25571";"NOWDT";"N100";"$(general : CurrentDate|format=F j, Y)$";"";"Cases"
"25572";"OPPOSING_COUNSEL_ADDRESS";"N101";"$(relatedRecord : opposing_counsel|street|Attorneys)$";"";"Cases"
"25573";"OPPOSING_COUNSEL_ATTORNEY_BAR_NUMBER";"N102";"$(relatedRecord : opposing_counsel|attorney_bar_number|Attorneys)$";"";"Cases"
"25574";"OPPOSING_COUNSEL_CITY";"N103";"$(relatedRecord : opposing_counsel|city|Attorneys)$";"";"Cases"
"25575";"OPPOSING_COUNSEL_EMAIL";"N104";"$(relatedRecord : opposing_counsel|email|Attorneys)$";"Email Address";"Cases"
"25576";"OPPOSING_COUNSEL_FAX";"N105";"$(relatedRecord : opposing_counsel|fax|Attorneys)$";"";"Cases"
"25577";"OPPOSING_COUNSEL_LAWFIRM";"N106";"$(relatedRecord : opposing_counsel|law_firm_name|Attorneys)$";"";"Cases"
"25578";"OPPOSING_COUNSEL_NAME";"N107";"$(relatedRecord : opposing_counsel|first_name|Attorneys)$ $(relatedRecord : opposing_counsel|last_name|Attorneys)$";"";"Cases"
"25579";"OPPOSING_COUNSEL_PHONE";"N108";"$(relatedRecord : opposing_counsel|phone|Attorneys)$ $(relatedRecord : opposing_counsel|phone_extra|Attorneys)$";"";"Cases"
"25580";"OPPOSING_COUNSEL_STATE";"N109";"$(relatedRecord : opposing_counsel|state|Attorneys)$";"";"Cases"
"25581";"OPPOSING_COUNSEL_ZIP";"N110";"$(relatedRecord : opposing_counsel|zip|Attorneys)$";"";"Cases"
"25586";"PACKET_OR_CASE_ID";"N115";"$(record : case_id)$";"";"Cases"
"25587";"PAID_AMOUNT";"N116";"$(record : total_collections)$";"";"Cases"
"25588";"PLAINTIFF_ATTORNEY_ADDRESS";"N117";"$(relatedRecord : attorney|street|Attorneys)$";"";"Cases"
"25589";"PLAINTIFF_ATTORNEY_BAR_NUMBER";"N118";"$(relatedRecord : attorney|attorney_bar_number|Attorneys)$";"";"Cases"
"25590";"PLAINTIFF_ATTORNEY_CITY";"N119";"$(relatedRecord : attorney|city|Attorneys)$";"";"Cases"
"25591";"PLAINTIFF_ATTORNEY_EMAIL";"N120";"$(relatedRecord : attorney|email|Attorneys)$";"Email Address";"Cases"
"25592";"PLAINTIFF_ATTORNEY_FAX";"N121";"$(relatedRecord : attorney|fax|Attorneys)$";"";"Cases"
"25593";"PLAINTIFF_ATTORNEY_LAWFIRM";"N122";"$(relatedRecord : attorney|law_firm_name|Attorneys)$";"";"Cases"
"25594";"PLAINTIFF_ATTORNEY_NAME";"N123";"$(relatedRecord : attorney|first_name|Attorneys)$ $(relatedRecord : attorney|last_name|Attorneys)$";"";"Cases"
"25595";"PLAINTIFF_ATTORNEY_PHONE";"N124";"$(relatedRecord : attorney|phone|Attorneys)$ $(relatedRecord : attorney|phone_extra|Attorneys)$";"";"Cases"
"25596";"PLAINTIFF_ATTORNEY_STATE";"N125";"$(relatedRecord : attorney|state|Attorneys)$";"";"Cases"
"25597";"PLAINTIFF_ATTORNEY_ZIP";"N126";"$(relatedRecord : attorney|zip|Attorneys)$";"";"Cases"
"25599";"POLICY_NUMBER";"N128";"$(record : policy_number)$";"";"Cases"
"25603";"PROVIDER_BILLING";"N132";"$(relatedRecord : provider|tax_id|Providers)$";"";"Cases"
"25607";"PROVIDER_LOCAL_ADDRESS";"N136";"$(relatedRecord : provider|street|Providers)$";"";"Cases"
"25608";"PROVIDER_LOCAL_CITY";"N137";"$(relatedRecord : provider|city|Providers)$";"";"Cases"
"25609";"PROVIDER_LOCAL_STATE";"N138";"$(relatedRecord : provider|state|Providers)$";"";"Cases"
"25610";"PROVIDER_LOCAL_ZIP";"N139";"$(relatedRecord : provider|zip|Providers)$";"";"Cases"
"25611";"PROVIDER_PERM_ADDRESS";"N140";"$(relatedRecord : provider|street|Providers)$";"";"Cases"
"25612";"PROVIDER_PERM_CITY";"N141";"$(relatedRecord : provider|city|Providers)$";"";"Cases"
"25613";"PROVIDER_PERM_STATE";"N142";"$(relatedRecord : provider|state|Providers)$";"";"Cases"
