"profilename";"tablabel";"has_access";"profileid";"tabid";"permissions"
"Accountant";"Accounts";"0";"9";"6";"1"
"Accountant";"ActivityRegister";"0";"9";"122";"1"
"Accountant";"Adjusters";"1";"9";"175";"0"
"Accountant";"Announcements";"0";"9";"83";"1"
"Accountant";"Api Address";"0";"9";"73";"1"
"Accountant";"Approvals";"0";"9";"127";"1"
"Accountant";"ApprovalsRegister";"0";"9";"128";"1"
"Accountant";"Assets";"0";"9";"37";"1"
"Accountant";"Attorneys";"1";"9";"149";"0"
"Accountant";"AuditRegister";"0";"9";"125";"1"
"Accountant";"BankAccounts";"0";"9";"133";"1"
"Accountant";"Batch Errors";"1";"9";"155";"0"
"Accountant";"Batch Tasks";"1";"9";"166";"0"
"Accountant";"Calendar";"1";"9";"9";"0"
"Accountant";"CallHistory";"0";"9";"74";"1"
"Accountant";"Campaigns";"0";"9";"26";"1"
"Accountant";"Case Handlers";"1";"9";"164";"0"
"Accountant";"Cases";"1";"9";"159";"0"
"Accountant";"CFixedAssets";"0";"9";"113";"1"
"Accountant";"Chat";"1";"9";"118";"0"
"Accountant";"CInternalTickets";"0";"9";"114";"1"
"Accountant";"Claim Collections";"1";"9";"172";"0"
"Accountant";"Claimed Invoices";"1";"9";"152";"0"
"Accountant";"Claims";"1";"9";"139";"0"
"Accountant";"Claims Documents Upload";"1";"9";"201";"0"
"Accountant";"CMileageLogbook";"0";"9";"116";"1"
"Accountant";"Collections";"1";"9";"170";"0"
"Accountant";"Comments";"1";"9";"40";"0"
"Accountant";"Competition";"0";"9";"93";"1"
"Accountant";"Contacts";"0";"9";"4";"1"
"Accountant";"Contacts";"0";"9";"177";"1"
"Accountant";"Counties";"1";"9";"173";"0"
"Accountant";"Courts";"1";"9";"145";"0"
"Accountant";"Dashboards";"1";"9";"1";"0"
"Accountant";"DataSetRegister";"0";"9";"121";"1"
"Accountant";"Document Package Sources";"1";"9";"162";"0"
"Accountant";"Document Packages";"1";"9";"158";"0"
"Accountant";"Document Templates";"1";"9";"157";"0"
"Accountant";"Document Types";"1";"9";"161";"0"
"Accountant";"Documents";"1";"9";"8";"0"
"Accountant";"DotsPBIReports";"0";"9";"184";"1"
"Accountant";"Dropbox Destinations";"1";"9";"185";"0"
"Accountant";"EmailTemplates";"1";"9";"112";"0"
"Accountant";"Faq";"0";"9";"15";"1"
"Accountant";"FBookkeeping";"0";"9";"94";"1"
"Accountant";"FCorectingInvoice";"0";"9";"107";"1"
"Accountant";"FInvoice";"0";"9";"95";"1"
"Accountant";"FInvoiceCost";"0";"9";"115";"1"
"Accountant";"FInvoiceProforma";"0";"9";"99";"1"
"Accountant";"Help Info";"1";"9";"194";"0"
"Accountant";"HelpDesk";"0";"9";"13";"1"
"Accountant";"HO Claimed Invoices";"1";"9";"187";"0"
"Accountant";"HolidaysEntitlement";"0";"9";"78";"1"
"Accountant";"Ideas";"0";"9";"75";"1"
"Accountant";"IGDN";"0";"9";"100";"1"
"Accountant";"IGDNC";"0";"9";"109";"1"
"Accountant";"IGIN";"0";"9";"102";"1"
"Accountant";"IGRN";"0";"9";"98";"1"
"Accountant";"IGRNC";"0";"9";"108";"1"
"Accountant";"IIDN";"0";"9";"101";"1"
"Accountant";"IncidentRegister";"0";"9";"124";"1"
"Accountant";"Insurance Companies";"1";"9";"168";"0"
"Accountant";"Insurance Company Aliases";"1";"9";"180";"0"
"Accountant";"Insureds";"1";"9";"167";"0"
"Accountant";"Investors";"1";"9";"146";"0"
"Accountant";"IPreOrder";"0";"9";"103";"1"
"Accountant";"ISTDN";"0";"9";"104";"1"
"Accountant";"ISTN";"0";"9";"105";"1"
"Accountant";"IStorages";"0";"9";"97";"1"
"Accountant";"ISTRN";"0";"9";"106";"1"
"Accountant";"Judges";"1";"9";"174";"0"
"Accountant";"KnowledgeBase";"0";"9";"96";"1"
"Accountant";"Law Firm Aliases";"1";"9";"189";"0"
"Accountant";"Law Firms";"1";"9";"188";"0"
"Accountant";"Leads";"0";"9";"7";"1"
"Accountant";"Leads";"0";"9";"178";"1"
"Accountant";"LettersIn";"0";"9";"81";"1"
"Accountant";"LettersOut";"0";"9";"82";"1"
"Accountant";"Litigation Contacts";"1";"9";"191";"0"
"Accountant";"Litigation Costs";"1";"9";"186";"0"
"Accountant";"LocationRegister";"0";"9";"123";"1"
"Accountant";"Locations";"0";"9";"130";"1"
"Accountant";"MailIntegration";"0";"9";"129";"1"
"Accountant";"Mortgage Companies";"1";"9";"190";"0"
"Accountant";"MultiCompany";"0";"9";"119";"1"
"Accountant";"Notification";"1";"9";"111";"0"
"Accountant";"Occurrences";"0";"9";"131";"1"
"Accountant";"OpenStreetMap";"0";"9";"110";"1"
"Accountant";"OSSEmployees";"0";"9";"61";"1"
"Accountant";"OSSMail";"1";"9";"48";"0"
"Accountant";"OSSMailView";"1";"9";"54";"0"
"Accountant";"OSSOutsourcedServices";"0";"9";"57";"1"
"Accountant";"OSSPasswords";"0";"9";"60";"1"
"Accountant";"OSSSoldServices";"0";"9";"58";"1"
"Accountant";"OSSTimeControl";"0";"9";"51";"1"
"Accountant";"Outside Cases";"1";"9";"182";"0"
"Accountant";"OutsourcedProducts";"0";"9";"59";"1"
"Accountant";"Package Email Variants";"1";"9";"163";"0"
"Accountant";"Partial Settlements";"1";"9";"192";"0"
"Accountant";"Partners";"0";"9";"92";"1"
"Accountant";"Partners Portal Activity";"1";"9";"197";"0"
"Accountant";"Password";"0";"9";"50";"1"
"Accountant";"Payments";"1";"9";"147";"0"
"Accountant";"PaymentsIn";"0";"9";"79";"1"
"Accountant";"PaymentsOut";"0";"9";"80";"1"
"Accountant";"PermissionInspector";"0";"9";"120";"1"
"Accountant";"Placeholders";"1";"9";"165";"0"
"Accountant";"Portfolio Purchases";"1";"9";"154";"0"
"Accountant";"Portfolios";"1";"9";"138";"0"
"Accountant";"PriceBooks";"0";"9";"19";"1"
"Accountant";"ProductCategory";"0";"9";"132";"1"
"Accountant";"Products";"0";"9";"14";"1"
"Accountant";"Program Algorithms";"1";"9";"193";"0"
"Accountant";"Programs";"1";"9";"144";"0"
"Accountant";"Project";"0";"9";"43";"1"
"Accountant";"ProjectMilestone";"0";"9";"41";"1"
"Accountant";"ProjectTask";"0";"9";"42";"1"
"Accountant";"Provider Contacts";"1";"9";"136";"0"
"Accountant";"Provider Eligibility";"1";"9";"141";"0"
"Accountant";"Provider Eligibility Conf";"1";"9";"140";"0"
"Accountant";"Provider Licenses";"1";"9";"150";"0"
"Accountant";"Provider References";"1";"9";"137";"0"
